denominazione_provincia,data,denominazione_regione,totale_casi
Ravenna,2020-03-24,Emilia-Romagna,368
Gorizia,2020-03-24,Friuli Venezia Giulia,57
Trieste,2020-03-24,Friuli Venezia Giulia,329
Pordenone,2020-03-24,Friuli Venezia Giulia,201
Sondrio,2020-03-24,Lombardia,253
Ragusa,2020-03-24,Sicilia,9
Rovigo,2020-03-24,Veneto,82
Piacenza,2020-03-25,Emilia-Romagna,2122
Ravenna,2020-03-25,Emilia-Romagna,387
Gorizia,2020-03-25,Friuli Venezia Giulia,65
Trieste,2020-03-25,Friuli Venezia Giulia,355
Pordenone,2020-03-25,Friuli Venezia Giulia,277
Sondrio,2020-03-25,Lombardia,284
Ragusa,2020-03-25,Sicilia,22
Rovigo,2020-03-25,Veneto,87
Piacenza,2020-03-26,Emilia-Romagna,2213
Ravenna,2020-03-26,Emilia-Romagna,451
Gorizia,2020-03-26,Friuli Venezia Giulia,75
Trieste,2020-03-26,Friuli Venezia Giulia,385
Pordenone,2020-03-26,Friuli Venezia Giulia,295
Sondrio,2020-03-26,Lombardia,325
Ragusa,2020-03-26,Sicilia,28
Rovigo,2020-03-26,Veneto,110
Piacenza,2020-03-27,Emilia-Romagna,2276
Ravenna,2020-03-27,Emilia-Romagna,488
Gorizia,2020-03-27,Friuli Venezia Giulia,79
Trieste,2020-03-27,Friuli Venezia Giulia,411
Pordenone,2020-03-27,Friuli Venezia Giulia,332
Sondrio,2020-03-27,Lombardia,362
Ragusa,2020-03-27,Sicilia,32
Rovigo,2020-03-27,Veneto,122
Piacenza,2020-03-28,Emilia-Romagna,2390
Ravenna,2020-03-28,Emilia-Romagna,521
Gorizia,2020-03-28,Friuli Venezia Giulia,85
Trieste,2020-03-28,Friuli Venezia Giulia,452
Pordenone,2020-03-28,Friuli Venezia Giulia,362
Sondrio,2020-03-28,Lombardia,388
Ragusa,2020-03-28,Sicilia,32
Rovigo,2020-03-28,Veneto,122
Piacenza,2020-03-29,Emilia-Romagna,2475
Ravenna,2020-03-29,Emilia-Romagna,553
Gorizia,2020-03-29,Friuli Venezia Giulia,91
Trieste,2020-03-29,Friuli Venezia Giulia,476
Pordenone,2020-03-29,Friuli Venezia Giulia,368
Sondrio,2020-03-29,Lombardia,422
Ragusa,2020-03-29,Sicilia,32
Rovigo,2020-03-29,Veneto,125
Piacenza,2020-03-30,Emilia-Romagna,2516
Ravenna,2020-03-30,Emilia-Romagna,568
Gorizia,2020-03-30,Friuli Venezia Giulia,91
Trieste,2020-03-30,Friuli Venezia Giulia,494
Pordenone,2020-03-30,Friuli Venezia Giulia,383
Sondrio,2020-03-30,Lombardia,446
Ragusa,2020-03-30,Sicilia,35
Rovigo,2020-03-30,Veneto,131
Piacenza,2020-03-31,Emilia-Romagna,2635
Ravenna,2020-03-31,Emilia-Romagna,580
Gorizia,2020-03-31,Friuli Venezia Giulia,98
Trieste,2020-03-31,Friuli Venezia Giulia,545
Pordenone,2020-03-31,Friuli Venezia Giulia,405
Sondrio,2020-03-31,Lombardia,470
Ragusa,2020-03-31,Sicilia,43
Rovigo,2020-03-31,Veneto,136
Piacenza,2020-04-01,Emilia-Romagna,2716
Ravenna,2020-04-01,Emilia-Romagna,605
Gorizia,2020-04-01,Friuli Venezia Giulia,106
Trieste,2020-04-01,Friuli Venezia Giulia,575
Pordenone,2020-04-01,Friuli Venezia Giulia,419
Sondrio,2020-04-01,Lombardia,484
Ragusa,2020-04-01,Sicilia,44
Rovigo,2020-04-01,Veneto,140
Piacenza,2020-04-02,Emilia-Romagna,2765
Ravenna,2020-04-02,Emilia-Romagna,627
Gorizia,2020-04-02,Friuli Venezia Giulia,110
Trieste,2020-04-02,Friuli Venezia Giulia,598
Pordenone,2020-04-02,Friuli Venezia Giulia,441
Sondrio,2020-04-02,Lombardia,517
Ragusa,2020-04-02,Sicilia,45
Rovigo,2020-04-02,Veneto,152
Piacenza,2020-04-03,Emilia-Romagna,2811
Ravenna,2020-04-03,Emilia-Romagna,656
Gorizia,2020-04-03,Friuli Venezia Giulia,111
Trieste,2020-04-03,Friuli Venezia Giulia,629
Pordenone,2020-04-03,Friuli Venezia Giulia,452
Sondrio,2020-04-03,Lombardia,537
Ragusa,2020-04-03,Sicilia,46
Rovigo,2020-04-03,Veneto,180
Piacenza,2020-04-04,Emilia-Romagna,2842
Ravenna,2020-04-04,Emilia-Romagna,688
Gorizia,2020-04-04,Friuli Venezia Giulia,115
Trieste,2020-04-04,Friuli Venezia Giulia,651
