"TIME","GEO","SEX","UNIT","Value"
"2010W15","Slovenia","Total","Number","385"
"2010W15","Slovakia","Total","Number","1,044"
"2010W15","Finland","Total","Number","1,006"
"2010W15","Sweden","Total","Number","1,749"
"2010W15","United Kingdom","Total","Number",":"
"2010W15","Iceland","Total","Number","40"
"2010W15","Liechtenstein","Total","Number","4"
"2010W15","Norway","Total","Number","795"
"2010W15","Switzerland","Total","Number","1,155"
"2010W15","Montenegro","Total","Number","83"
"2010W15","Albania","Total","Number",":"
"2010W15","Serbia","Total","Number","1,975"
"2010W15","Andorra","Total","Number","4"
"2010W15","Armenia","Total","Number",":"
"2010W15","Georgia","Total","Number",":"
"2010W16","Belgium","Total","Number","1,929"
"2010W16","Bulgaria","Total","Number","2,114"
"2010W16","Czechia","Total","Number","2,095"
"2010W16","Denmark","Total","Number","1,076"
"2010W16","Germany (until 1990 former territory of the FRG)","Total","Number",":"
"2010W16","Estonia","Total","Number","317"
"2010W16","Greece","Total","Number",":"
"2010W16","Spain","Total","Number","7,156"
"2010W16","France","Total","Number",":"
"2010W16","Croatia","Total","Number","1,024"
"2010W16","Italy","Total","Number",":"
"2010W16","Cyprus","Total","Number",":"
"2010W16","Latvia","Total","Number","616"
"2010W16","Lithuania","Total","Number","790"
"2010W16","Luxembourg","Total","Number","71"
"2010W16","Hungary","Total","Number","2,448"
"2010W16","Malta","Total","Number",":"
"2010W16","Netherlands","Total","Number","2,582"
"2010W16","Austria","Total","Number","1,442"
"2010W16","Poland","Total","Number","7,027"
"2010W16","Portugal","Total","Number","1,965"
"2010W16","Romania","Total","Number",":"
"2010W16","Slovenia","Total","Number","359"
"2010W16","Slovakia","Total","Number","1,044"
"2010W16","Finland","Total","Number","962"
"2010W16","Sweden","Total","Number","1,745"
"2010W16","United Kingdom","Total","Number",":"
"2010W16","Iceland","Total","Number","37"
"2010W16","Liechtenstein","Total","Number","4"
"2010W16","Norway","Total","Number","746"
"2010W16","Switzerland","Total","Number","1,205"
"2010W16","Montenegro","Total","Number","100"
"2010W16","Albania","Total","Number",":"
"2010W16","Serbia","Total","Number","1,935"
"2010W16","Andorra","Total","Number","2"
"2010W16","Armenia","Total","Number",":"
"2010W16","Georgia","Total","Number",":"
"2010W17","Belgium","Total","Number","1,956"
"2010W17","Bulgaria","Total","Number","2,099"
"2010W17","Czechia","Total","Number","2,084"
"2010W17","Denmark","Total","Number","1,022"
"2010W17","Germany (until 1990 former territory of the FRG)","Total","Number",":"
"2010W17","Estonia","Total","Number","316"
"2010W17","Greece","Total","Number",":"
"2010W17","Spain","Total","Number","7,228"
"2010W17","France","Total","Number",":"
"2010W17","Croatia","Total","Number","1,038"
"2010W17","Italy","Total","Number",":"
"2010W17","Cyprus","Total","Number",":"
"2010W17","Latvia","Total","Number","619"
"2010W17","Lithuania","Total","Number","829"
"2010W17","Luxembourg","Total","Number","67"
"2010W17","Hungary","Total","Number","2,480"
"2010W17","Malta","Total","Number",":"
"2010W17","Netherlands","Total","Number","2,570"
"2010W17","Austria","Total","Number","1,453"
"2010W17","Poland","Total","Number","7,243"
"2010W17","Portugal","Total","Number","1,961"
"2010W17","Romania","Total","Number",":"
"2010W17","Slovenia","Total","Number","408"
"2010W17","Slovakia","Total","Number","1,056"
"2010W17","Finland","Total","Number","1,017"
"2010W17","Sweden","Total","Number","1,720"
"2010W17","United Kingdom","Total","Number",":"
"2010W17","Iceland","Total","Number","40"
"2010W17","Liechtenstein","Total","Number","3"
"2010W17","Norway","Total","Number","757"
"2010W17","Switzerland","Total","Number","1,150"
"2010W17","Montenegro","Total","Number","121"
"2010W17","Albania","Total","Number",":"
"2010W17","Serbia","Total","Number","1,953"
"2010W17","Andorra","Total","Number","4"
"2010W17","Armenia","Total","Number",":"
"2010W17","Georgia","Total","Number",":"
"2010W18","Belgium","Total","Number","1,894"
"2010W18","Bulgaria","Total","Number","2,117"
"2010W18","Czechia","Total","Number","1,897"
"2010W18","Denmark","Total","Number","1,039"
"2010W18","Germany (until 1990 former territory of the FRG)","Total","Number",":"
"2010W18","Estonia","Total","Number","276"
"2010W18","Greece","Total","Number",":"
"2010W18","Spain","Total","Number","6,815"
"2010W18","France","Total","Number",":"
"2010W18","Croatia","Total","Number","920"
"2010W18","Italy","Total","Number",":"
"2010W18","Cyprus","Total","Number",":"
"2010W18","Latvia","Total","Number","492"
"2010W18","Lithuania","Total","Number","754"
"2010W18","Luxembourg","Total","Number","70"
"2010W18","Hungary","Total","Number","2,346"
"2010W18","Malta","Total","Number",":"
"2010W18","Netherlands","Total","Number","2,535"
"2010W18","Austria","Total","Number","1,446"
"2010W18","Poland","Total","Number","7,094"
"2010W18","Portugal","Total","Number","1,781"
"2010W18","Romania","Total","Number",":"
"2010W18","Slovenia","Total","Number","348"
